datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,hour,times,jitter_times,Weekday
2011-01-03 17:00:00,春,0,1,出太陽,9.84,11.365,30,15.0013,11,146,157,17,2018-01-16T17:00:00Z,2018-01-16T17:42:00Z,Mon
2011-01-03 18:00:00,春,0,1,出太陽,9.84,12.88,32,7.0015,9,148,157,18,2018-01-16T18:00:00Z,2018-01-16T18:00:00Z,Mon
2011-01-03 19:00:00,春,0,1,出太陽,8.2,12.88,47,0,8,102,110,19,2018-01-16T19:00:00Z,2018-01-16T19:28:00Z,Mon
2011-01-03 20:00:00,春,0,1,出太陽,8.2,11.365,47,7.0015,3,49,52,20,2018-01-16T20:00:00Z,2018-01-16T20:13:00Z,Mon
2011-01-03 21:00:00,春,0,1,出太陽,7.38,9.85,64,8.9981,3,49,52,21,2018-01-16T21:00:00Z,2018-01-16T21:22:00Z,Mon
2011-01-03 22:00:00,春,0,1,出太陽,5.74,7.575,69,8.9981,0,20,20,22,2018-01-16T22:00:00Z,2018-01-16T22:36:00Z,Mon
2011-01-03 23:00:00,春,0,1,出太陽,7.38,10.605,55,7.0015,1,11,12,23,2018-01-16T23:00:00Z,2018-01-16T23:21:00Z,Mon
2011-01-04 00:00:00,春,0,1,出太陽,6.56,9.09,55,7.0015,0,5,5,0,2018-01-17T00:00:00Z,2018-01-17T00:07:00Z,Tues
2011-01-04 01:00:00,春,0,1,出太陽,6.56,9.09,59,7.0015,0,2,2,1,2018-01-17T01:00:00Z,2018-01-17T01:14:00Z,Tues
2011-01-04 02:00:00,春,0,1,出太陽,5.74,7.575,63,8.9981,0,1,1,2,2018-01-17T02:00:00Z,2018-01-17T02:39:00Z,Tues
2011-01-04 04:00:00,春,0,1,出太陽,5.74,9.09,63,6.0032,0,2,2,4,2018-01-17T04:00:00Z,2018-01-17T04:25:00Z,Tues
2011-01-04 05:00:00,春,0,1,出太陽,4.92,7.575,68,7.0015,0,4,4,5,2018-01-17T05:00:00Z,2018-01-17T05:47:00Z,Tues
2011-01-04 06:00:00,春,0,1,出太陽,4.92,7.575,74,7.0015,0,36,36,6,2018-01-17T06:00:00Z,2018-01-17T06:06:00Z,Tues
2011-01-04 07:00:00,春,0,1,出太陽,4.92,7.575,74,8.9981,2,92,94,7,2018-01-17T07:00:00Z,2018-01-17T07:26:00Z,Tues
2011-01-04 08:00:00,春,0,1,出太陽,5.74,7.575,69,11.0014,2,177,179,8,2018-01-17T08:00:00Z,2018-01-17T08:58:00Z,Tues
2011-01-04 09:00:00,春,0,1,出太陽,6.56,7.575,64,15.0013,2,98,100,9,2018-01-17T09:00:00Z,2018-01-17T09:53:00Z,Tues
2011-01-04 10:00:00,春,0,1,陰天,6.56,6.82,69,22.0028,5,37,42,10,2018-01-17T10:00:00Z,2018-01-17T10:52:00Z,Tues
2011-01-04 11:00:00,春,0,1,出太陽,9.02,10.605,51,19.9995,7,50,57,11,2018-01-17T11:00:00Z,2018-01-17T11:10:00Z,Tues
2011-01-04 12:00:00,春,0,1,出太陽,9.02,11.365,51,11.0014,12,66,78,12,2018-01-17T12:00:00Z,2018-01-17T12:08:00Z,Tues
2011-01-04 13:00:00,春,0,1,出太陽,9.84,11.365,56,12.998,18,79,97,13,2018-01-17T13:00:00Z,2018-01-17T13:39:00Z,Tues
2011-01-04 14:00:00,春,0,1,出太陽,10.66,12.88,52,15.0013,9,54,63,14,2018-01-17T14:00:00Z,2018-01-17T14:20:00Z,Tues
2011-01-04 15:00:00,春,0,1,出太陽,11.48,13.635,52,16.9979,17,48,65,15,2018-01-17T15:00:00Z,2018-01-17T15:39:00Z,Tues
2011-01-04 16:00:00,春,0,1,出太陽,12.3,14.395,49,16.9979,15,68,83,16,2018-01-16T16:00:00Z,2018-01-16T16:19:00Z,Tues
2011-01-04 17:00:00,春,0,1,出太陽,11.48,13.635,48,15.0013,10,202,212,17,2018-01-16T17:00:00Z,2018-01-16T17:11:00Z,Tues
2011-01-04 18:00:00,春,0,1,出太陽,10.66,12.88,48,12.998,3,179,182,18,2018-01-16T18:00:00Z,2018-01-16T18:46:00Z,Tues
2011-01-04 19:00:00,春,0,1,出太陽,9.84,12.88,48,7.0015,2,110,112,19,2018-01-16T19:00:00Z,2018-01-16T19:06:00Z,Tues
2011-01-04 20:00:00,春,0,1,出太陽,9.84,12.88,48,7.0015,1,53,54,20,2018-01-16T20:00:00Z,2018-01-16T20:28:00Z,Tues
2011-01-04 21:00:00,春,0,1,出太陽,9.02,13.635,64,0,0,48,48,21,2018-01-16T21:00:00Z,2018-01-16T21:30:00Z,Tues
2011-01-04 22:00:00,春,0,1,出太陽,9.02,12.88,64,6.0032,1,34,35,22,2018-01-16T22:00:00Z,2018-01-16T22:35:00Z,Tues
2011-01-04 23:00:00,春,0,1,出太陽,8.2,11.365,69,6.0032,2,9,11,23,2018-01-16T23:00:00Z,2018-01-16T23:20:00Z,Tues
2011-01-05 00:00:00,春,0,1,出太陽,8.2,12.88,64,0,0,6,6,0,2018-01-17T00:00:00Z,2018-01-17T00:29:00Z,Wed
2011-01-05 01:00:00,春,0,1,出太陽,6.56,9.85,74,6.0032,0,6,6,1,2018-01-17T01:00:00Z,2018-01-17T01:56:00Z,Wed
2011-01-05 02:00:00,春,0,1,出太陽,6.56,9.85,74,6.0032,0,2,2,2,2018-01-17T02:00:00Z,2018-01-17T02:28:00Z,Wed
2011-01-05 04:00:00,春,0,1,出太陽,9.84,11.365,48,15.0013,0,2,2,4,2018-01-17T04:00:00Z,2018-01-17T04:53:00Z,Wed
2011-01-05 05:00:00,春,0,1,出太陽,9.02,11.365,47,11.0014,0,3,3,5,2018-01-17T05:00:00Z,2018-01-17T05:54:00Z,Wed
2011-01-05 06:00:00,春,0,1,出太陽,8.2,9.85,47,15.0013,0,33,33,6,2018-01-17T06:00:00Z,2018-01-17T06:36:00Z,Wed
2011-01-05 07:00:00,春,0,1,出太陽,7.38,9.09,43,12.998,1,87,88,7,2018-01-17T07:00:00Z,2018-01-17T07:24:00Z,Wed
2011-01-05 08:00:00,春,0,1,出太陽,8.2,9.09,40,19.9995,3,192,195,8,2018-01-17T08:00:00Z,2018-01-17T08:09:00Z,Wed
2011-01-05 09:00:00,春,0,1,出太陽,9.02,9.85,37,22.0028,6,109,115,9,2018-01-17T09:00:00Z,2018-01-17T09:55:00Z,Wed
2011-01-05 10:00:00,春,0,1,出太陽,9.02,9.85,37,22.0028,4,53,57,10,2018-01-17T10:00:00Z,2018-01-17T10:18:00Z,Wed
2011-01-05 11:00:00,春,0,1,出太陽,10.66,11.365,33,22.0028,12,34,46,11,2018-01-17T11:00:00Z,2018-01-17T11:04:00Z,Wed
2011-01-05 12:00:00,春,0,1,出太陽,10.66,11.365,33,22.0028,5,74,79,12,2018-01-17T12:00:00Z,2018-01-17T12:56:00Z,Wed
2011-01-05 13:00:00,春,0,1,出太陽,11.48,12.88,30,19.9995,6,65,71,13,2018-01-17T13:00:00Z,2018-01-17T13:43:00Z,Wed
2011-01-05 14:00:00,春,0,1,出太陽,12.3,14.395,28,12.998,10,52,62,14,2018-01-17T14:00:00Z,2018-01-17T14:08:00Z,Wed
2011-01-05 15:00:00,春,0,1,出太陽,12.3,14.395,28,12.998,7,55,62,15,2018-01-17T15:00:00Z,2018-01-17T15:32:00Z,Wed
2011-01-05 16:00:00,春,0,1,出太陽,12.3,15.91,28,6.0032,4,85,89,16,2018-01-16T16:00:00Z,2018-01-16T16:56:00Z,Wed
2011-01-05 17:00:00,春,0,1,出太陽,9.84,11.365,38,12.998,4,186,190,17,2018-01-16T17:00:00Z,2018-01-16T17:35:00Z,Wed
2011-01-05 18:00:00,春,0,1,出太陽,9.84,12.12,38,8.9981,3,166,169,18,2018-01-16T18:00:00Z,2018-01-16T18:24:00Z,Wed
2011-01-05 19:00:00,春,0,1,出太陽,9.84,12.88,38,7.0015,5,127,132,19,2018-01-16T19:00:00Z,2018-01-16T19:38:00Z,Wed
2011-01-05 20:00:00,春,0,1,出太陽,9.02,11.365,47,11.0014,7,82,89,20,2018-01-16T20:00:00Z,2018-01-16T20:19:00Z,Wed
2011-01-05 21:00:00,春,0,1,出太陽,8.2,9.85,51,12.998,3,40,43,21,2018-01-16T21:00:00Z,2018-01-16T21:18:00Z,Wed
2011-01-05 22:00:00,春,0,1,出太陽,7.38,9.85,55,8.9981,1,41,42,22,2018-01-16T22:00:00Z,2018-01-16T22:13:00Z,Wed
2011-01-05 23:00:00,春,0,1,出太陽,8.2,12.88,47,0,1,18,19,23,2018-01-16T23:00:00Z,2018-01-16T23:22:00Z,Wed
2011-01-06 00:00:00,春,0,1,出太陽,7.38,12.12,55,0,0,11,11,0,2018-01-17T00:00:00Z,2018-01-17T00:58:00Z,Thurs
2011-01-06 01:00:00,春,0,1,出太陽,6.56,11.365,64,0,0,4,4,1,2018-01-17T01:00:00Z,2018-01-17T01:09:00Z,Thurs
2011-01-06 02:00:00,春,0,1,出太陽,6.56,11.365,64,0,0,2,2,2,2018-01-17T02:00:00Z,2018-01-17T02:05:00Z,Thurs
2011-01-06 04:00:00,春,0,1,陰天,6.56,9.85,64,6.0032,0,1,1,4,2018-01-17T04:00:00Z,2018-01-17T04:08:00Z,Thurs
2011-01-06 05:00:00,春,0,1,陰天,5.74,9.09,69,6.0032,0,4,4,5,2018-01-17T05:00:00Z,2018-01-17T05:41:00Z,Thurs
2011-01-06 06:00:00,春,0,1,陰天,5.74,8.335,63,7.0015,0,36,36,6,2018-01-17T06:00:00Z,2018-01-17T06:37:00Z,Thurs
2011-01-06 07:00:00,春,0,1,陰天,6.56,11.365,59,0,0,95,95,7,2018-01-17T07:00:00Z,2018-01-17T07:53:00Z,Thurs
2011-01-06 08:00:00,春,0,1,出太陽,6.56,11.365,59,0,3,216,219,8,2018-01-17T08:00:00Z,2018-01-17T08:40:00Z,Thurs
2011-01-06 09:00:00,春,0,1,陰天,7.38,12.12,51,0,6,116,122,9,2018-01-17T09:00:00Z,2018-01-17T09:43:00Z,Thurs
2011-01-06 10:00:00,春,0,1,出太陽,8.2,12.88,47,0,3,42,45,10,2018-01-17T10:00:00Z,2018-01-17T10:31:00Z,Thurs
2011-01-06 11:00:00,春,0,1,出太陽,9.02,12.88,44,6.0032,2,57,59,11,2018-01-17T11:00:00Z,2018-01-17T11:39:00Z,Thurs
2011-01-06 12:00:00,春,0,1,出太陽,10.66,14.395,35,0,6,78,84,12,2018-01-17T12:00:00Z,2018-01-17T12:48:00Z,Thurs
2011-01-06 13:00:00,春,0,1,出太陽,10.66,13.635,35,7.0015,12,55,67,13,2018-01-17T13:00:00Z,2018-01-17T13:46:00Z,Thurs
2011-01-06 14:00:00,春,0,1,出太陽,11.48,13.635,36,11.0014,11,59,70,14,2018-01-17T14:00:00Z,2018-01-17T14:58:00Z,Thurs
2011-01-06 15:00:00,春,0,1,出太陽,11.48,13.635,36,0,8,54,62,15,2018-01-17T15:00:00Z,2018-01-17T15:26:00Z,Thurs
2011-01-06 16:00:00,春,0,1,出太陽,10.66,12.88,38,11.0014,12,74,86,16,2018-01-16T16:00:00Z,2018-01-16T16:18:00Z,Thurs
2011-01-06 17:00:00,春,0,1,出太陽,9.02,11.365,51,11.0014,9,163,172,17,2018-01-16T17:00:00Z,2018-01-16T17:24:00Z,Thurs
2011-01-06 18:00:00,春,0,1,出太陽,9.02,11.365,51,8.9981,5,158,163,18,2018-01-16T18:00:00Z,2018-01-16T18:01:00Z,Thurs
2011-01-06 19:00:00,春,0,1,出太陽,9.02,12.88,55,6.0032,3,109,112,19,2018-01-16T19:00:00Z,2018-01-16T19:11:00Z,Thurs
2011-01-06 20:00:00,春,0,1,出太陽,8.2,10.605,51,11.0014,3,66,69,20,2018-01-16T20:00:00Z,2018-01-16T20:50:00Z,Thurs
2011-01-06 21:00:00,春,0,1,陰天,9.02,10.605,55,15.0013,0,48,48,21,2018-01-16T21:00:00Z,2018-01-16T21:14:00Z,Thurs
2011-01-06 22:00:00,春,0,1,陰天,9.02,10.605,51,19.0012,1,51,52,22,2018-01-16T22:00:00Z,2018-01-16T22:14:00Z,Thurs
2011-01-06 23:00:00,春,0,1,陰天,8.2,9.85,59,12.998,4,19,23,23,2018-01-16T23:00:00Z,2018-01-16T23:05:00Z,Thurs
2011-01-07 00:00:00,春,0,1,陰天,8.2,9.85,64,12.998,4,13,17,0,2018-01-17T00:00:00Z,2018-01-17T00:14:00Z,Fri
2011-01-07 01:00:00,春,0,1,陰天,8.2,9.85,69,15.0013,2,5,7,1,2018-01-17T01:00:00Z,2018-01-17T01:43:00Z,Fri
2011-01-07 02:00:00,春,0,1,陰天,8.2,9.85,69,15.0013,0,1,1,2,2018-01-17T02:00:00Z,2018-01-17T02:50:00Z,Fri
2011-01-07 04:00:00,春,0,1,陰天,8.2,10.605,69,8.9981,0,1,1,4,2018-01-17T04:00:00Z,2018-01-17T04:29:00Z,Fri
2011-01-07 05:00:00,春,0,1,雨天,9.02,13.635,55,0,0,5,5,5,2018-01-17T05:00:00Z,2018-01-17T05:23:00Z,Fri
2011-01-07 06:00:00,春,0,1,陰天,8.2,12.88,69,0,8,26,34,6,2018-01-17T06:00:00Z,2018-01-17T06:15:00Z,Fri
2011-01-07 07:00:00,春,0,1,出太陽,8.2,10.605,69,8.9981,8,76,84,7,2018-01-17T07:00:00Z,2018-01-17T07:07:00Z,Fri
2011-01-07 08:00:00,春,0,1,出太陽,8.2,9.85,51,16.9979,20,190,210,8,2018-01-17T08:00:00Z,2018-01-17T08:23:00Z,Fri
2011-01-07 09:00:00,春,0,1,出太陽,8.2,9.09,47,19.9995,9,125,134,9,2018-01-17T09:00:00Z,2018-01-17T09:34:00Z,Fri
2011-01-07 10:00:00,春,0,1,出太陽,9.02,9.85,37,22.0028,16,47,63,10,2018-01-17T10:00:00Z,2018-01-17T10:13:00Z,Fri
2011-01-07 11:00:00,春,0,1,陰天,8.2,9.85,40,15.0013,19,48,67,11,2018-01-17T11:00:00Z,2018-01-17T11:26:00Z,Fri
2011-01-07 12:00:00,春,0,1,陰天,8.2,9.85,37,16.9979,9,50,59,12,2018-01-17T12:00:00Z,2018-01-17T12:13:00Z,Fri
2011-01-07 13:00:00,春,0,1,陰天,8.2,9.09,37,19.0012,9,64,73,13,2018-01-17T13:00:00Z,2018-01-17T13:30:00Z,Fri
2011-01-07 14:00:00,春,0,1,陰天,8.2,9.85,40,16.9979,7,43,50,14,2018-01-17T14:00:00Z,2018-01-17T14:21:00Z,Fri
2011-01-07 15:00:00,春,0,1,陰天,8.2,10.605,37,11.0014,9,63,72,15,2018-01-17T15:00:00Z,2018-01-17T15:38:00Z,Fri
2011-01-07 16:00:00,春,0,1,陰天,8.2,10.605,37,11.0014,5,82,87,16,2018-01-16T16:00:00Z,2018-01-16T16:22:00Z,Fri
2011-01-07 17:00:00,春,0,1,陰天,8.2,12.88,37,0,9,178,187,17,2018-01-16T17:00:00Z,2018-01-16T17:21:00Z,Fri
2011-01-07 18:00:00,春,0,1,出太陽,8.2,11.365,40,6.0032,7,116,123,18,2018-01-16T18:00:00Z,2018-01-16T18:31:00Z,Fri
2011-01-07 19:00:00,春,0,1,出太陽,6.56,9.85,55,6.0032,3,92,95,19,2018-01-16T19:00:00Z,2018-01-16T19:44:00Z,Fri
2011-01-07 20:00:00,春,0,1,出太陽,7.38,10.605,47,7.0015,1,50,51,20,2018-01-16T20:00:00Z,2018-01-16T20:13:00Z,Fri
2011-01-07 21:00:00,春,0,1,出太陽,7.38,9.85,47,8.9981,0,39,39,21,2018-01-16T21:00:00Z,2018-01-16T21:24:00Z,Fri
2011-01-07 22:00:00,春,0,1,陰天,7.38,9.85,43,11.0014,2,34,36,22,2018-01-16T22:00:00Z,2018-01-16T22:16:00Z,Fri
2011-01-07 23:00:00,春,0,1,陰天,7.38,9.85,51,11.0014,1,14,15,23,2018-01-16T23:00:00Z,2018-01-16T23:37:00Z,Fri
2011-01-08 00:00:00,春,0,0,陰天,7.38,9.85,51,11.0014,1,24,25,0,2018-01-17T00:00:00Z,2018-01-17T00:11:00Z,Sat
2011-01-08 01:00:00,春,0,0,陰天,7.38,10.605,55,6.0032,1,15,16,1,2018-01-17T01:00:00Z,2018-01-17T01:51:00Z,Sat
2011-01-08 02:00:00,春,0,0,陰天,7.38,12.12,55,0,3,13,16,2,2018-01-17T02:00:00Z,2018-01-17T02:44:00Z,Sat
2011-01-08 03:00:00,春,0,0,雨天,7.38,9.85,55,11.0014,0,7,7,3,2018-01-17T03:00:00Z,2018-01-17T03:39:00Z,Sat
2011-01-08 04:00:00,春,0,0,雨天,7.38,9.85,55,11.0014,0,1,1,4,2018-01-17T04:00:00Z,2018-01-17T04:36:00Z,Sat
2011-01-08 05:00:00,春,0,0,陰天,6.56,8.335,74,11.0014,0,5,5,5,2018-01-17T05:00:00Z,2018-01-17T05:22:00Z,Sat
2011-01-08 06:00:00,春,0,0,陰天,6.56,8.335,74,11.0014,0,2,2,6,2018-01-17T06:00:00Z,2018-01-17T06:31:00Z,Sat
2011-01-08 07:00:00,春,0,0,陰天,6.56,9.09,74,7.0015,1,8,9,7,2018-01-17T07:00:00Z,2018-01-17T07:52:00Z,Sat
2011-01-08 08:00:00,春,0,0,雨天,6.56,9.09,93,7.0015,0,15,15,8,2018-01-17T08:00:00Z,2018-01-17T08:34:00Z,Sat
2011-01-08 09:00:00,春,0,0,雨天,6.56,9.09,93,7.0015,0,20,20,9,2018-01-17T09:00:00Z,2018-01-17T09:50:00Z,Sat
2011-01-08 10:00:00,春,0,0,陰天,7.38,9.85,80,11.0014,5,56,61,10,2018-01-17T10:00:00Z,2018-01-17T10:18:00Z,Sat
2011-01-08 11:00:00,春,0,0,陰天,8.2,9.09,69,26.0027,2,60,62,11,2018-01-17T11:00:00Z,2018-01-17T11:42:00Z,Sat
